,File,Transformation,Pareto Decompression,Pareto Compression,Pareto Compression Decompression,Top 5 Lowest CF Codecs
0,../../../../tiffs/geotiffs/srtm_45_15.tif,No Transformation,"""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256"" ""[+]_custom_delta_vecavx512+TurboPFor_TurboVSimple"" ""[+]_custom_delta_vecavx512+TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboVSimple"""
1,../../../../tiffs/geotiffs/srtm_45_15.tif,threshold,"""[+]_custom_rle_vecavx512+FastPFor_JustCopy"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""simdcomp"" ""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_Simple16"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1""","""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_dict_vecavx+TurboPFor_TurboVSimple"""
2,../../../../tiffs/geotiffs/srtm_45_15.tif,smoothAndShift,"""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDNewPFor<4,Simple16>+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_zzag/delta+TurboPFor128"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_delta_vecavx512+TurboPFor_Zigzag+TurboVSimple"""
3,../../../../tiffs/geotiffs/srtm_45_15.tif,indexBasedClassification,"""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""custom_rle_vecavx512"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE_DELTA"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_MaskedVByte"""
4,../../../../tiffs/geotiffs/srtm_45_15.tif,valueBasedClassification,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_JustCopy"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+FastPFor_VarIntG8IU"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_PFor2008+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDOPTPFor<4,Simple16>+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_3""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+simdcomp"" ""[+]_custom_rle_vecavx512+STREAMVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDBinaryPacking+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking32+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_FastBinaryPacking16+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor256+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDFastPFor128+VariableByte"" ""[+]_custom_rle_vecavx512+FastPFor_SIMDSimplePFor+VariableByte"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3""","""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+DEFLATE"" ""[+]_custom_rle_vecavx512+Zstd_5"" ""[+]_custom_rle_vecavx512+FastPFor_OPTPFor<4,Simple16>+VariableByte"""
5,../../../../tiffs/geotiffs/srtm_45_15.tif,valueShift,"""custom_delta_vecavx512"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDFastPFor128+VariableByte"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""custom_delta_vecavx512"" ""simdcomp"" ""TurboPFor_xor+TurboPack256"" ""TurboPFor_Zigzag+TurboPack256"" ""TurboPFor_Zigzag+TurboVSimple""","""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256"" ""[+]_custom_delta_vecavx512+TurboPFor_TurboVSimple"" ""[+]_custom_delta_vecavx512+TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_for_vecavx512+TurboPFor_Zigzag+TurboVSimple"""
6,../../../../tiffs/geotiffs/slope-srtm_35_11.tif,No Transformation,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""FastPFor_FastPFor256+VariableByte""","""simdcomp"" ""TurboPFor_TurboPack256"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_FastBinaryPacking32+VariableByte"" ""FastPFor_Simple8b"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""FastPFor_FastPFor256+VariableByte""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_FastBinaryPacking32+VariableByte"" ""FastPFor_Simple8b"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""FastPFor_FastPFor256+VariableByte""","""FastPFor_FastPFor256+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""FastPFor_Simple8b"" ""FastPFor_SIMDSimplePFor+VariableByte"" ""FastPFor_FastPFor128+VariableByte"""
7,../../../../tiffs/geotiffs/slope-srtm_35_11.tif,threshold,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_TurboPack256"" ""TurboPFor_TurboPFor256"" ""simdcomp"" ""FrameOfReference_Turbo"" ""[+]_custom_rle_vecavx512+Zstd_3""","""simdcomp"" ""FrameOfReference_Turbo"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3""","""custom_delta_vecavx512"" ""simdcomp"" ""FrameOfReference_Turbo"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""[+]_custom_rle_vecavx512+Zstd_3""","""[+]_custom_rle_vecavx512+Zstd_3"" ""[+]_custom_rle_vecavx512+Zstd_1"" ""FrameOfReference_Turbo"" ""[+]_custom_dict_vecavx+FrameOfReference_Turbo"" ""simdcomp"""
8,../../../../tiffs/geotiffs/slope-srtm_35_11.tif,smoothAndShift,"""custom_for_vecavx512"" ""custom_delta_vecavx512"" ""simdcomp"" ""FastPFor_SIMDPFor+VariableByte"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""FastPFor_SIMDFastPFor256+VariableByte"" ""TurboPFor_Zigzag+TurboPack256"" ""FastPFor_Simple8b"" ""TurboPFor_Zigzag+TurboPFor256""","""simdcomp"" ""TurboPFor_TurboPack256"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_Zigzag+TurboPack256"" ""FastPFor_Simple8b"" ""FastPFor_Simple16"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""simdcomp"" ""FastPFor_SIMDBinaryPacking+VariableByte"" ""TurboPFor_Zigzag+TurboPack256"" ""FastPFor_Simple8b"" ""FastPFor_Simple16"" ""TurboPFor_Zigzag+TurboVSimple"" ""TurboPFor_Zigzag+TurboPFor256""","""TurboPFor_Zigzag+TurboPFor256"" ""TurboPFor_Zigzag+TurboVSimple"" ""[+]_custom_dict_vecavx+DEFLATE"" ""DEFLATE"" ""[+]_custom_for_vecavx512+DEFLATE"""
9,../../../../tiffs/geotiffs/slope-srtm_35_11.tif,indexBasedClassification,"""[+]_custom_rle_vecavx512+FastPFor_VariableByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+MASKEDVBYTE_DELTA"" ""[+]_custom_rle_vecavx512+FastPFor_varintgb"" ""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+FastPFor_VByte"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256""","""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor128"" ""[+]_custom_rle_vecavx512+TurboPFor_TurboPFor256"" ""[+]_custom_rle_vecavx512+MASKEDVBYTE"" ""[+]_custom_rle_vecavx512+FastPFor_MaskedVByte"""
